sim_id,final_pnl,final_Vpi,total_trades
877,179909,2.13636e+06,25
878,207095,497124,33
879,184076,-1.958e+06,31
880,140004,708045,28
881,151730,-1.06916e+06,30
882,259227,-353616,38
883,136623,2.8761e+06,33
884,303709,6.85176e+06,39
885,279030,-2.10769e+06,30
886,170280,-4.47221e+06,22
887,178611,2.60421e+06,30
888,194637,-1.24812e+06,33
889,207327,3.00654e+06,28
890,284734,651774,39
891,172895,237409,27
892,192821,1.43361e+06,30
893,182311,1.34503e+06,30
894,154365,-128698,22
895,307793,-2.21047e+06,32
896,228176,3.07748e+06,39
897,197652,-6.19309e+06,33
898,230587,-2.41218e+06,31
899,254486,-1.06139e+06,40
900,243043,3.2462e+06,30
901,288294,-3.21502e+06,36
902,160621,1.89016e+06,27
903,232455,-723598,36
904,130404,-1.05305e+06,25
905,168078,1.85142e+06,30
906,170696,4.08758e+06,20
907,124044,1.10629e+06,25
908,157348,150050,32
909,145131,3.73488e+06,27
910,144045,-763882,20
911,199033,3.26323e+06,38
912,177570,-1.71088e+06,29
913,266377,8.19279e+06,30
914,197151,1.37901e+06,33
915,186616,-1.10033e+06,26
916,174586,2.89801e+06,26
917,93788.1,1.19074e+06,17
918,187674,-256352,33
919,109019,260648,26
920,174584,668476,23
921,187762,867485,28
922,167747,1.02585e+06,30
923,247906,2.25384e+06,39
924,255422,198770,39
925,207143,-4.97515e+06,32
926,274598,2.85506e+06,36
927,220092,-269729,32
928,138405,1.42411e+06,29
929,121315,3.38551e+06,25
930,222513,524125,37
931,197480,523194,22
932,205055,-3.20277e+06,31
933,145786,-588178,21
934,243576,-678543,32
935,116323,2.49328e+06,25
936,149694,556679,23
937,258821,1.10844e+06,38
938,192349,-1.44916e+06,28
939,137163,-2.55623e+06,34
940,161139,1.15298e+06,25
941,216055,-3.1741e+06,33
942,134008,223757,30
943,178561,748518,29
944,145952,2.36162e+06,25
945,302838,-4.19769e+06,41
946,209017,7.7548e+06,35
947,226488,-3.42801e+06,29
948,281630,-5.87806e+06,37
949,204797,-1.55656e+06,32
950,107024,-3.4163e+06,21
951,119187,-1.97772e+06,23
952,171528,4.78518e+06,25
953,166255,-2.46444e+06,26
954,185142,-300230,23
955,217802,4.04562e+06,31
